Abstimmungsbezirk,Wahlraum-Bezeichnung,Wahlraum-Adresse
1,Altes Rathaus [Trauungssaal],Marktplatz 14
2,"Städtisches Dienstgebäude [Zimmer Nr. 3, Erdgeschoss]",Asterweg 9
3,Gewerbehaus [Versammlungszimmer Saal 1a],Kirchstraße 16
4,Schulhaus [Turnhalle],Schillerstraße 8
5,Stadtknabenschule [Lehrerzimmer],Nordanlage 8
6,Schulhaus [Turnhalle],Westanlage 43
7,"Alte Klinik [Zimmer Nr. 18, Eingang am Hauptportal]",Liebigstraße 16
8,"Alte Klinik [Zimmer Nr. 15, Eingang linker Flügel]",Liebigstraße 16
9,"Alte Klinik [Saal 10, Eingang Hauptportal rechts]",Liebigstraße 16
10,Realgymnasium [Turnhalle],Ludwigstraße 11
11,Stadthaus [Zimmer Nr. 6],Bergstraße 20
12,Handelskammergebäude [Sitzungssaal],Lonystraße 7
13,"Oberrealschule [Korrigierzimmer, Zimmer Nr. 1]",Stephanstraße 12
14,Isrealitisches Gemeindehaus [Beetsaal],Lonystraße 4
15,"Justizgebäude [Saal im Erdgeschoss, Strafkammersaal (Erdgeschoss Nr. 18), Eingang an der Südseite]",Ostanlage 15
16,Regierungsgebäude [Sitzungssaal],Landgraf-Philipp-Platz 3
17,Hotel Prinz Carl [Hinteres Sälchen],Seltersweg 40
18,Stadthaus [Zimmer Nr. 7],Gartenstraße
